datetime,count
2011-01-20 00:00:00,11.3
2011-01-20 01:00:00,5.15
2011-01-20 02:00:00,4.04
2011-01-20 03:00:00,3.63
2011-01-20 04:00:00,2.86
2011-01-20 05:00:00,6.25
2011-01-20 06:00:00,36.39
2011-01-20 07:00:00,93.52
2011-01-20 08:00:00,198.52
2011-01-20 09:00:00,120.11
2011-01-20 10:00:00,59.27
2011-01-20 11:00:00,55.7
2011-01-20 12:00:00,72.82
2011-01-20 13:00:00,70.05
2011-01-20 14:00:00,70.77
2011-01-20 15:00:00,76.51
2011-01-20 16:00:00,85.83
2011-01-20 17:00:00,197.53
2011-01-20 18:00:00,177.3
2011-01-20 19:00:00,101.51
2011-01-20 20:00:00,69.19
2011-01-20 21:00:00,48.65
2011-01-20 22:00:00,44.07
2011-01-20 23:00:00,24.01
2011-01-21 00:00:00,15.11
2011-01-21 01:00:00,6.83
2011-01-21 02:00:00,5.57
2011-01-21 03:00:00,2.43
2011-01-21 04:00:00,2.59
2011-01-21 05:00:00,3.84
2011-01-21 06:00:00,32.51
2011-01-21 07:00:00,95.11
2011-01-21 08:00:00,188.0
2011-01-21 09:00:00,124.01
2011-01-21 10:00:00,48.6
2011-01-21 11:00:00,62.53
2011-01-21 12:00:00,73.34
2011-01-21 13:00:00,70.46
2011-01-21 14:00:00,66.86
2011-01-21 15:00:00,64.75
2011-01-21 16:00:00,78.02
2011-01-21 17:00:00,152.45
2011-01-21 18:00:00,146.45
2011-01-21 19:00:00,103.3
2011-01-21 20:00:00,62.1
2011-01-21 21:00:00,42.1
2011-01-21 22:00:00,32.73
2011-01-21 23:00:00,20.13
2011-01-22 00:00:00,25.57
2011-01-22 01:00:00,16.85
2011-01-22 02:00:00,12.54
2011-01-22 03:00:00,7.12
2011-01-22 04:00:00,2.82
2011-01-22 06:00:00,4.19
2011-01-22 07:00:00,16.18
2011-01-22 08:00:00,24.29
2011-01-22 09:00:00,29.35
2011-01-22 10:00:00,51.94
2011-01-22 11:00:00,54.05
2011-01-22 12:00:00,72.85
2011-01-22 13:00:00,82.68
2011-01-22 14:00:00,79.51
2011-01-22 15:00:00,78.55
2011-01-22 16:00:00,80.26
2011-01-22 17:00:00,88.82
2011-01-22 18:00:00,63.62
2011-01-22 19:00:00,43.38
2011-01-22 20:00:00,42.36
2011-01-22 21:00:00,38.84
2011-01-22 22:00:00,28.8
2011-01-22 23:00:00,18.64
2011-01-23 00:00:00,27.54
2011-01-23 01:00:00,20.57
2011-01-23 02:00:00,14.32
2011-01-23 03:00:00,13.15
2011-01-23 05:00:00,2.93
2011-01-23 06:00:00,2.34
2011-01-23 07:00:00,10.57
2011-01-23 08:00:00,19.17
2011-01-23 09:00:00,25.83
2011-01-23 10:00:00,52.32
2011-01-23 11:00:00,64.19
2011-01-23 12:00:00,73.42
2011-01-23 13:00:00,68.26
2011-01-23 14:00:00,75.46
2011-01-23 15:00:00,74.56
2011-01-23 16:00:00,79.5
2011-01-23 17:00:00,78.15
2011-01-23 18:00:00,72.13
2011-01-23 19:00:00,45.53
