datetime,count
2011-01-20 00:00:00,11.24
2011-01-20 01:00:00,5.02
2011-01-20 02:00:00,4.01
2011-01-20 03:00:00,3.5
2011-01-20 04:00:00,3.03
2011-01-20 05:00:00,5.57
2011-01-20 06:00:00,35.87
2011-01-20 07:00:00,91.22
2011-01-20 08:00:00,209.54
2011-01-20 09:00:00,122.0
2011-01-20 10:00:00,60.77
2011-01-20 11:00:00,59.31
2011-01-20 12:00:00,79.55
2011-01-20 13:00:00,71.12
2011-01-20 14:00:00,71.67
2011-01-20 15:00:00,75.3
2011-01-20 16:00:00,89.04
2011-01-20 17:00:00,195.88
2011-01-20 18:00:00,174.26
2011-01-20 19:00:00,101.62
2011-01-20 20:00:00,72.96
2011-01-20 21:00:00,47.72
2011-01-20 22:00:00,42.86
2011-01-20 23:00:00,22.59
2011-01-21 00:00:00,14.33
2011-01-21 01:00:00,6.68
2011-01-21 02:00:00,5.33
2011-01-21 03:00:00,2.03
2011-01-21 04:00:00,2.14
2011-01-21 05:00:00,5.97
2011-01-21 06:00:00,31.03
2011-01-21 07:00:00,89.78
2011-01-21 08:00:00,188.04
2011-01-21 09:00:00,128.04
2011-01-21 10:00:00,49.73
2011-01-21 11:00:00,59.82
2011-01-21 12:00:00,67.41
2011-01-21 13:00:00,65.86
2011-01-21 14:00:00,60.91
2011-01-21 15:00:00,61.31
2011-01-21 16:00:00,81.71
2011-01-21 17:00:00,151.72
2011-01-21 18:00:00,139.93
2011-01-21 19:00:00,106.35
2011-01-21 20:00:00,66.33
2011-01-21 21:00:00,41.65
2011-01-21 22:00:00,32.15
2011-01-21 23:00:00,20.19
2011-01-22 00:00:00,24.11
2011-01-22 01:00:00,16.0
2011-01-22 02:00:00,13.02
2011-01-22 03:00:00,8.1
2011-01-22 04:00:00,3.05
2011-01-22 06:00:00,4.21
2011-01-22 07:00:00,17.62
2011-01-22 08:00:00,27.27
2011-01-22 09:00:00,26.64
2011-01-22 10:00:00,48.67
2011-01-22 11:00:00,52.92
2011-01-22 12:00:00,73.27
2011-01-22 13:00:00,78.67
2011-01-22 14:00:00,77.07
2011-01-22 15:00:00,72.81
2011-01-22 16:00:00,73.75
2011-01-22 17:00:00,92.62
2011-01-22 18:00:00,58.23
2011-01-22 19:00:00,39.89
2011-01-22 20:00:00,38.17
2011-01-22 21:00:00,34.91
2011-01-22 22:00:00,29.03
2011-01-22 23:00:00,17.06
2011-01-23 00:00:00,26.98
2011-01-23 01:00:00,18.75
2011-01-23 02:00:00,13.47
